Title,Author,Runtime,Price,Language,Release Date,Rating
Shadow's Heart,Kresley Cole,12 hrs and 26 mins,$24.95,English,04-02-25,5
The Ultimate Guide to Family Fairy Tales Collection,Edgar Galicia,3 hrs,$14.95,English,04-14-25,Not rated yet
Above the Illusion,Anthony Minaya,3 hrs and 51 mins,$14.95,English,04-18-25,5
The Genius,Theodore Dreiser,31 hrs and 49 mins,$29.95,English,01-27-25,Not rated yet
The Simple Keto Plan for Beginners 2025,Skye Bray,5 hrs,$14.95,English,03-20-25,5
Iron Gold (Part 2 of 2) (Dramatized Adaptation),Pierce Brown,11 hrs and 28 mins,$20.00,English,04-30-25,Not rated yet
The Power of Your Subconscious Mind,Joseph Murphy,6 hrs and 18 mins,$19.95,English,04-14-25,Not rated yet
Hidden Nature,Nora Roberts,14 hrs and 55 mins,$24.74,English,05-27-25,Not rated yet
Framed in Death,J. D. Robb,12 hrs and 51 mins,$20.24,English,09-02-25,Not rated yet
Cry Havoc,Jack Carr,15 hrs and 30 mins,$22.49,English,06-10-25,Not rated yet
The Primal of Blood and Bone,Jennifer L. Armentrout,24 hrs,$31.49,English,06-10-25,Not rated yet
The Fallen and the Kiss of Dusk,Carissa Broadbent,17 hrs and 46 mins,$49.90,English,08-05-25,Not rated yet
Dark Rebel’s Reckoning,I. T. Lucas,8 hrs and 44 mins,$19.95,English,04-14-25,5
Star Wars: The High Republic: Into the Light,Claudia Gray,9 hrs and 57 mins,$11.89,English,04-15-25,5
The Ultimate Keto Cookbook for Beginners 2025,Leon Heaney,7 hrs and 16 mins,$19.95,English,04-01-25,5
"Magic, Academies & Vampires",Benjamin Kerei,17 hrs and 8 mins,$49.90,English,06-03-25,Not rated yet
We Are All Guilty Here,Karin Slaughter,16 hrs,$24.29,English,08-12-25,Not rated yet
Cross-Checked,Julia Connors,11 hrs and 40 mins,$24.95,English,04-16-25,4.5
One Golden Summer,Carley Fortune,11 hrs,$20.25,English,05-06-25,Not rated yet
Can't Get Enough,Kennedy Ryan,14 hrs and 30 mins,$21.83,English,05-13-25,Not rated yet
Her Irish Wolves,Theodora Taylor,11 hrs and 26 mins,$24.95,English,04-14-25,4.5
Social Skills Books for Elementary Kids,Tremaine Joseph,3 hrs and 18 mins,$14.95,English,04-15-25,Not rated yet
Handyman,Aron Beauregard,10 hrs and 3 mins,$24.95,English,04-16-25,5
Social Media Addiction and Cell Phone Addiction Mastery Boxset,Gabrielle Townsend,8 hrs and 12 mins,$19.95,English,12-02-23,5
Fall of Us,Joelle Lynne,7 hrs,$19.95,English,04-16-25,5
Lt. Commander Reilly,Matthew O Duncan,8 hrs and 27 mins,$19.95,English,04-18-25,Not rated yet
We Can Do Hard Things,"Glennon Doyle, Abby Wambach, Amanda Doyle",12 hrs,$22.50,English,05-06-25,Not rated yet
Graveyard of Demons,Larry Correia,Not Yet Known,$29.95,English,05-20-25,Not rated yet
The Impossible Fortune,Richard Osman,11 hrs,$22.50,English,09-30-25,Not rated yet
The Kingdom of Cain,Andrew Klavan,6 hrs and 49 mins,$18.89,English,05-06-25,Not rated yet
Rise of the Living Forge 3,Actus,21 hrs and 11 mins,$29.95,English,04-16-25,5
Chaos,"Meg Anne, K. Loraine",8 hrs and 23 mins,$19.95,English,04-21-25,Not rated yet
